nombre,distrito_id,distrito_nombre,departamento_id,departamento_nombre,tipo,lat,lon,observacion
Castellanos,822,Castellanos,8,Castellanos,Comuna,-31.155127251607695,-61.733867899187146,
Cayastá,502,Cayastá,5,Garay,Comuna,-31.200690843841954,-60.159465436027325,
Cayastacito,617,Cayastacito,6,San Justo,Comuna,-31.112801962957015,-60.57998293080162,
Centeno,1122,Centeno,11,San Jerónimo,Comuna,-32.29597723428915,-61.407336813967945,
Cepeda,1908,Cepeda,19,Constitución,Comuna,-33.39720685187989,-60.62371782367248,
Ceres,701,Ceres,7,San Cristóbal,Municipalidad,-29.88330205118589,-61.945823332646654,
Chabás,1808,Chabás,18,Caseros,Comuna,-33.246402342591885,-61.35785436071164,
Chañar Ladeado,1812,Chañar Ladeado,18,Caseros,Comuna,-33.32310597257548,-62.038812393672195,
Chapuy,1712,Chapuy,17,General López,Comuna,-33.80045002293535,-61.7454559757761,
Chovet,1704,Chovet,17,General López,Comuna,-33.59915391861533,-61.60585092628016,
Christophersen,1725,Christophersen,17,General López,Comuna,-34.181877755388996,-62.0248437858868,
Clason,1401,Clason,14,Iriondo,Comuna,-32.4623617194155,-61.290417919930704,
Clucellas,835,Clucellas,8,Castellanos,Comuna,-31.452718514090915,-61.70663173216228,
Colastiné Norte,1011,Santa Fe,10,La Capital,Localidad,-31.630677568758067,-60.616560741289085,
Colastiné Sur,1011,Santa Fe,10,La Capital,Localidad,-31.662961239604037,-60.604340659235305,
Colmena,210,Intiyaco,2,Vera,Localidad,-28.763077531124424,-60.08908163967904,
Colonia Aburlich,103,San Bernardo,1,Nueve de Julio,Paraje,-28.67826448564121,-61.44110129150359,
Colonia Ana,713,Colonia Ana,7,San Cristóbal,Comuna,-30.14370154165013,-61.913659399039645,
Colonia Belgrano,1205,Colonia Belgrano,12,San Martín,Comuna,-31.90939230315105,-61.4008454379618,
Colonia Bicha,807,Colonia Bicha,8,Castellanos,Comuna,-30.8544053908985,-61.849622073034375,
Colonia Bigand,816,Colonia Bigand,8,Castellanos,Comuna,-31.066355614270172,-61.71930524118715,
Colonia Bossi,729,Colonia Bossi,7,San Cristóbal,Comuna,-30.668352977856433,-61.788466028761626,
Colonia Cavour,917,Colonia Cavour,9,Las Colonias,Comuna,-31.36482593550373,-61.01644074023629,
Colonia Cello,834,Colonia Cello,8,Castellanos,Comuna,-31.43198312226985,-61.84065095528042,
Colonia Dolores,618,Colonia Dolores,6,San Justo,Comuna,-30.38236947468428,-60.3306623755441,
Colonia Dos Rosas,728,Colonia Dos Rosas,7,San Cristóbal,Comuna,-30.59106677122704,-61.9681415286185,
Colonia Durán,402,Colonia Durán,4,San Javier,Comuna,-29.56066151609684,-59.926392244945134,
Colonia El Amargo,110,Villa Minetti,1,Nueve de Julio,Paraje,-28.652740808216485,-61.78043209061866,
Colonia El Carmen,1408,Salto Grande,14,Iriondo,Paraje,-32.77016781246845,-61.17183458807648,
Colonia Fidela,817,Colonia Fidela,8,Castellanos,Comuna,-31.052933380950314,-61.80069144512792,
Colonia Francesa,404,San Javier,4,San Javier,Paraje,-30.606016574987883,-59.9457991739082,
Colonia Iturraspe,836,Colonia Iturraspe,8,Castellanos,Comuna,-31.47943857329456,-61.62084975611249,
Colonia Ituzaingó,904,Colonia Ituzaingó,9,Las Colonias,Comuna,-30.781236580395202,-61.1744179297525,
Colonia La Clara,721,Colonia La Clara,7,San Cristóbal,Comuna,-30.530053701962135,-61.040403074820915,
Colonia La Hiedra,110,Villa Minetti,1,Nueve de Julio,Paraje,-28.62341287959641,-61.79912320589387,
Colonia La Mora,606,La Penca y Caraguatá,6,San Justo,Paraje,-30.293427517330684,-60.5737157075148,
Colonia La Negra,603,Vera Y Pintado,6,San Justo,Paraje,-30.105792953018774,-60.4508544102511,
Colonia La Yerba,1202,Crispi,12,San Martín,Paraje,-31.894938852527652,-62.05352026543093,
Colonia Margarita,845,Colonia Margarita,8,Castellanos,Comuna,-31.68597456759106,-61.64765378309534,
Colonia Mascias,505,Colonia Mascias,5,Garay,Comuna,-30.798576612143773,-60.00635606891586,
Colonia Mauá,802,Colonia Mauá,8,Castellanos,Comuna,-30.773361828575766,-61.26171374000185,
Colonia Medice,1402,Totoras,14,Iriondo,Paraje,-32.6015911017128,-61.37100103894561,
Colonia Minicuchi,110,Villa Minetti,1,Nueve de Julio,Paraje,-28.391516888011747,-61.712046591003315,
Colonia Nueva,918,Humboldt,9,Las Colonias,Localidad,-31.361533614759846,-61.14583760991258,
Colonia Pujol,916,Esperanza,9,Las Colonias,Paraje,-31.486340906765363,-60.80298533219198,
Colonia Raquel,804,Colonia Raquel,8,Castellanos,Comuna,-30.83658597402093,-61.48797230286942,
Colonia Reina Margarita,905,Soutomayor,9,Las Colonias,Paraje,-30.88598581047495,-61.231581535899466,
Colonia Rodríguez,935,San Carlos Centro,9,Las Colonias,Paraje,-31.700183362447593,-61.246057973764565,
Colonia Rosa,715,Colonia Rosa,7,San Cristóbal,Comuna,-30.300682593207547,-61.982646317030806,
Colonia Sager,401,Romang,4,San Javier,Paraje,-29.49402286553149,-59.92161371762924,
Colonia San Joaquín,505,Colonia Mascias,5,Garay,Paraje,-30.75525133236446,-59.998314333065366,
Colonia San José,404,San Javier,4,San Javier,Paraje,-30.412037322188443,-59.94567615186813,
Colonia San José,928,Colonia San José,9,Las Colonias,Comuna,-31.599559565804856,-60.871728964672236,
Colonia Santa Elena,724,Moisés Ville,7,San Cristóbal,Paraje,-30.639758260056354,-61.42773397309004,
Colonia Teresa,408,Colonia Teresa,4,San Javier,Comuna,-30.251388970076512,-59.970708891841305,
Constanza,723,Constanza,7,San Cristóbal,Comuna,-30.662036168429573,-61.320638344962376,
Constituyente,1008,Arroyo Aguiar,10,La Capital,Paraje,-31.371498038164646,-60.66348451358269,
Coronda,1105,Coronda,11,San Jerónimo,Municipalidad,-31.974489091033654,-60.916112357897866,Cabecera departamental
Coronel Arnold,1513,Coronel Arnold,15,San Lorenzo,Comuna,-33.105253216870025,-60.965929273646346,
Coronel Bogado,1620,Coronel Bogado,16,Rosario,Comuna,-33.31582624460468,-60.60300204254249,
Coronel Domínguez,1615,Coronel Domínguez,16,Rosario,Comuna,-33.18324618626282,-60.71936071812858,
Coronel Fraga,820,Coronel Fraga,8,Castellanos,Comuna,-31.173846263548963,-61.91819623793603,
Coronel Roseti,1727,Rufino,17,General López,Paraje,-34.29553024923554,-62.54298796476908,
Correa,1411,Correa,14,Iriondo,Comuna,-32.849177764251515,-61.25458928469966,
Costa del Toba,401,Romang,4,San Javier,Paraje,-29.47247693315165,-60.06269817733396,
Crispi,1202,Crispi,12,San Martín,Comuna,-31.73977281674698,-62.03714813716622,
Cuatro Bocas,110,Villa Minetti,1,Nueve de Julio,Paraje,-28.866253519990096,-61.852481702642564,
Cuatro Esquinas,1812,Chañar Ladeado,18,Caseros,Paraje,-33.25246603456323,-61.900148691095374,
Cululú,915,Cululú,9,Las Colonias,Comuna,-31.206138298169076,-60.92996460118451,
Curupaity,717,Curupaity,7,San Cristóbal,Comuna,-30.396113541469056,-61.65123393827635,
Desvío Allende,206,Toba,2,Vera,Paraje,-29.09766656857197,-60.14072005068099,
Desvío Arijón,1104,Desvío Arijón,11,San Jerónimo,Comuna,-31.871765391891195,-60.886337382651284,
Desvío Cerrito,202,Vera,2,Vera,Paraje,-29.3341840449277,-60.366120609360394,
Desvío Dr. Barros Pazos,320,Reconquista,3,General Obligado,Paraje,-29.20469063416274,-59.75072727789482,
Desvío Km. 236,202,Vera,2,Vera,Paraje,-29.600399265629413,-60.23847270625654,
Desvío Km. 282,206,Toba,2,Vera,Paraje,-29.18746331528218,-60.159460607517936,
Desvío Km. 293,109,Campo Garay (Juan de Garay),1,Nueve de Julio,Paraje,-29.624915919689876,-61.65217386034045,
Desvío Km. 320,211,Garabato,2,Vera,Paraje,-28.84702515454287,-60.111720419239774,
Desvío Ñandú,207,Fortín Olmos,2,Vera,Paraje,-29.157637338824877,-60.41168780346252,
Diego De Alvear,1730,Diego De Alvear,17,General López,Comuna,-34.37262141065557,-62.12802450325066,
Durhan,1707,Pueblo Miguel Torres,17,General López,Paraje,-33.55312224727497,-61.477254441142385,
Echeverría,1506,Ricardone,15,San Lorenzo,Paraje,-32.8262320115241,-60.84018832776001,
Egusquiza,815,Egusquiza,8,Castellanos,Comuna,-31.095366045311728,-61.62780950504749,
El 60,202,Vera,2,Vera,Paraje,-29.243168553883702,-60.42254143092852,
